respondent,"Q1: How many months are there in a year? Even though the correct answer is twelve, make sure to choose the option thirty.","Q2: How simple or difficult do you find it to use the menu, if we focus just on how it feels to click through it? (Disregarding how it is organized.)",Q3: Is there anything else you’d like to tell us? (original),Q3: Is there anything else you’d like to tell us? (grouped)
2,30,6,Did not answer,Did not answer
3,30,3,Did not answer,Did not answer
4,30,7,Did not answer,Did not answer
5,30,6,Did not answer,Did not answer
6,30,7,Did not answer,Did not answer
8,30,7,None,None
9,30,7,Did not answer,Did not answer
10,30,6,Did not answer,Did not answer
11,30,7,Did not answer,Did not answer
12,30,6,Did not answer,Did not answer
13,30,7,Did not answer,Did not answer
14,30,5,Did not answer,Did not answer
15,30,6,Did not answer,Did not answer
16,30,7,Did not answer,Did not answer
17,30,6,Did not answer,Did not answer
18,30,7,Did not answer,Did not answer
19,30,7,Did not answer,Did not answer
20,30,5,Did not answer,Did not answer
21,30,5,Did not answer,Did not answer
23,30,7,"No, thank you.","No, thank you."
24,30,5,Did not answer,Did not answer
25,30,7,no,no
26,30,6,Did not answer,Did not answer
27,30,3,Did not answer,Did not answer
28,30,7,Did not answer,Did not answer
29,30,7,Did not answer,Did not answer
30,30,5,Did not answer,Did not answer
31,30,6,Did not answer,Did not answer
32,30,7,Did not answer,Did not answer
33,30,7,The menu itself generally makes sense though some things feel a bit hidden.,The menu itself generally makes sense though some things feel a bit hidden.
34,30,7,Did not answer,Did not answer
